"";"x";"y";"count";"LogSoilmean"
"385046";-62,275;8,47222222333333;2;-0,222777886202528
"385155";-60,4583333333333;8,47222222333333;1;0,48917378971501
"395256";-61,7583333333333;8,42222222333333;1;1,3724544553548
"395297";-61,075;8,42222222333333;4;-0,341232499016944
"402005";-62,375;8,38888889;3;0,687956470215988
"405405";-62,2583333333333;8,37222222333333;1;-0,462298100915229
"412347";-59,6583333333333;8,33888889;2;-0,428004561546911
"425900";-59,975;8,27222222333333;1;0,0159751406904872
"436034";-60,725;8,22222222333333;1;0,221326986686456
"442874";-59,825;8,18888889;1;-0,45756092449162
"446276";-59,675;8,17222222333333;1;0,361224237342345
"452832";-63,5083333333333;8,13888889;1;-0,283322691443687
"466511";-61,725;8,07222222333333;7;0,152396443281133
"510767";-59,275;7,85555555666667;2;0,103127816505753
"514125";-59,8583333333333;7,83888889;1;1,3724544553548
"531066";-60,2583333333333;7,75555555666667;1;-0,283322691443687
"531111";-59,5083333333333;7,75555555666667;1;-0,283322691443687
"531137";-59,075;7,75555555666667;4;-0,677858294541748
"541199";-61,025;7,70555555666667;1;-0,0506824909947755
"541200";-61,0083333333333;7,70555555666667;1;0,221326986686456
"551431";-60,1416666666667;7,65555555666667;1;0,51028096609208
"554603";-63,825;7,63888889;1;-0,322950978172898
"554825";-60,125;7,63888889;1;0,221326986686456
"554826";-60,1083333333333;7,63888889;2;-0,351419021577906
"554828";-60,075;7,63888889;1;0,278431158893414
"554829";-60,0583333333333;7,63888889;1;0,278431158893414
"558219";-60,1083333333333;7,62222222333333;1;0,221326986686456
"558233";-59,875;7,62222222333333;2;0,0596762054883625
"561243";-66,2583333333333;7,60555555666667;1;0,0345990175635101
"561464";-62,575;7,60555555666667;1;0,278431158893414
"561617";-60,025;7,60555555666667;2;-0,428004561546911
"564636";-66,2583333333333;7,58888889;1;-1,09250422051824
"564825";-63,1083333333333;7,58888889;2;-0,124361836940089
"564834";-62,9583333333333;7,58888889;2;0,827565337800881
"578645";-58,975;7,52222222333333;3;-0,132969774326271
"581942";-60,575;7,50555555666667;1;0,856419637269798
"585050";-65,325;7,48888889;1;-0,598216403878995
"588569";-63,225;7,47222222333333;4;-0,427533071927115
"602396";-58,975;7,40555555666667;2;-1,03343125991095
"602397";-58,9583333333333;7,40555555666667;1;-0,932422237834673
"609135";-59,7583333333333;7,37222222333333;1;1,3724544553548
"609138";-59,7083333333333;7,37222222333333;5;0,150517225817066
"615597";-65,1583333333333;7,33888889;1;-0,846872639932811
"625772";-65,225;7,28888889;1;-0,283322691443687
"625773";-65,2083333333333;7,28888889;3;0,164288947069414
"626148";-58,9583333333333;7,28888889;1;0,221326986686456
"636337";-58,7916666666667;7,23888889;1;0,0159751406904872
"639570";-61,4583333333333;7,22222222333333;1;-0,582861703080335
"646190";-64,225;7,18888889;1;0,9278580813355
"646191";-64,2083333333333;7,18888889;1;-1,27179103258792
"649452";-66,4083333333333;7,17222222333333;1;-0,100556292066231
"649661";-62,925;7,17222222333333;1;-0,100556292066231
"649662";-62,9083333333333;7,17222222333333;2;-0,365871564790896
"659628";-66,4583333333333;7,12222222333333;1;-0,322950978172898
"659645";-66,175;7,12222222333333;42;0,154153821497617
"659701";-65,2416666666667;7,12222222333333;2;-0,958121314902333
"666596";-63,425;7,08888889;1;0,977723605288848
