latitude	longitude	logSoil
-6.0333	-42.9167	-0.823908741
-9.25	-59.25	-0.193820026
-10.4	-56.8667	-0.431798276
-7.25	-38.7667	-0.080921908
-18.9333	-52.25	-0.292429824
-16.7	-51.3833	-0.283996656
-12.7333	-41.2333	-0.795880017
-13.4545	-41.2685	-0.795880017
-9.9	-44.55	-0.408935393
-9.2667	-66.0667	-0.494850022
-12.3833	-64.2333	-0.283996656
-22.9333	-52.6167	-0.346787486
-10.8833	-64.8167	-0.568636236
-13.2167	-48.6833	-0.075720714
-13.0667	-42.8667	-0.468521083
-13.1727	-41.3241	-0.602059991
-9.5333	-62.1	-0.721246399
-0.6667	-62.0333	-0.119186408
-6.5667	-42.7167	0.08278537
-13.1182	-42.7222	-0.292429824
-9.3167	-58.0833	0.045322979
-10.6833	-54.7	-0.180456064
-9.1667	-65.2	-0.397940009
-8.5833	-37.1333	-0.022276395
-1.6	-54.5	-0.468521083
-22.8833	-52.75	0.338456494
-13.1545	-41.75	-0.236572006
-8.0833	-53.95	-0.259637311
-9.4333	-52.1333	-0.180456064
-6.3667	-40.5333	0.382017043
-10.5167	-58.2333	-0.22184875
-12.45	-41.4667	-0.37675071
-12.4273	-41.4537	-0.37675071
-13.2273	-41.7963	0.008600172
-14.7833	-49.5667	0.426511261
-5.7667	-38.9833	0.437750563
-9.55	-62.0667	0.204119983
-17.2167	-44.9667	0.079181246
-15.4667	-59.75	0.46834733
4.6333	-60.6667	-0.552841969
-12.1833	-63.8667	-0.431798276
-10.6333	-51.2667	-0.301029996
-9.4333	-65.2	-0.397940009
-14.65	-49.9	0.526339277
-14.8833	-46.5333	0.546542663
-7.2833	-61.15	-0.677780705
-10.6	-58.1	-0.214670165
-3.5333	-41.7833	0.257678575
-14.6	-46.4833	0.320146286
-5.4167	-41.7667	0.515873844
-21.5333	-57.05	0.646403726
-14.2818	-43.037	0.230448921
-12.0833	-46.5333	0.437750563
-9.05	-58.3167	0.707570176
-10.7167	-58.45	0.722633923
-10.4	-51.1833	0.728353782
-11.9636	-39.1667	0.733999287
-1.6	-54.8667	0.11058971
-3.6167	-42.4	0.722633923
-29.2667	-53.9667	0.660865478
-6.4167	-36.5833	0.761175813
-9.9167	-53.9333	-0.318758763
-8	-36.1	0.824125834
-1.65	-54.7	0.808885867
-13.3818	-42.5093	0.802089258
-15.7	-55.8833	0.8162413
-15.1667	-58.1333	0.848189117
-4.2667	-61.6833	-0.207608311
-1.4833	-55.5833	0.86923172
-1.6	-54.75	0.460897843
-25.4	-51.4667	0.553883027
-1.4833	-55.6667	0.056904851
-11.5727	-41.1111	-0.346787486
-8.3833	-37.2167	0.930439595
-8.35	-37.2	0.930439595
-6.3	-42.1667	0.947433722
-6.7833	-39.0333	0.957607287
-1.6167	-54.4333	0.976349979
